Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
4/27/2022 02:25:11.603,28.017196,27.999428,28.052929,28.020753,28.016491,27.977267,27.971661,27.973776,26.9863,26.973924,27.043636,27.079369,27.018754,27.02654,27.046242,27.071223
4/27/2022 02:30:08.062,27.995379,28.004968,28.021474,28.047209,28.054437,28.003214,28.044881,28.008706,27.060142,27.011526,27.028065,27.041079,27.067191,27.036621,27.061896,27.044751
4/27/2022 02:35:12.201,28.0041,28.031834,27.978955,28.016836,28.025277,28.04316,27.993511,28.034538,27.068223,27.064404,26.999052,26.995675,27.045374,26.98625,27.031982,27.017476
4/27/2022 02:40:09.225,27.997936,27.984414,28.027687,27.981299,27.972776,28.01559,28.02808,28.016344,27.036539,27.045243,27.013296,26.999511,27.008018,26.997151,26.991561,26.988496
4/27/2022 02:45:09.045,28.004772,28.030555,28.060486,28.030998,27.99497,27.974776,28.012361,27.967285,26.998216,26.997134,27.032621,27.088991,26.983661,27.046636,27.008329,27.029474
4/27/2022 02:50:10.756,28.013033,28.031244,28.014443,28.052306,28.04693,28.024244,27.986135,28.014885,26.975662,26.973252,27.009083,27.051947,27.037457,27.017443,27.050816,27.065633
4/27/2022 02:55:08.407,27.995199,27.98284,27.973923,28.014623,28.039259,28.038702,28.044897,28.039423,27.052291,27.039932,26.998888,27.014198,27.067863,26.977678,27.047242,27.051094
4/27/2022 03:00:10.573,28.00882,28.025113,28.045651,27.985725,27.991888,28.000494,27.975431,27.989528,27.068879,27.056995,27.047718,26.990397,27.034015,27.046456,27.004478,27.025016
4/27/2022 03:05:10.568,27.999248,28.027883,28.041832,28.048471,27.974153,27.986069,28.03821,27.991232,27.043915,27.02872,27.023114,27.070338,26.991955,27.036096,26.980431,26.985742
4/27/2022 03:10:10.938,28.017901,27.979201,28.000018,28.054355,28.026621,28.038931,28.001182,28.043127,27.000412,26.988217,26.986742,27.055799,27.01046,26.988381,27.035359,27.016755
4/27/2022 03:15:08.875,27.989774,28.036522,27.995347,28.012148,28.050634,28.020868,27.999543,28.025605,26.97417,26.99202,27.013706,27.026114,27.06188,27.010411,27.059749,27.063912
4/27/2022 03:20:10.619,28.014492,28.022097,28.04334,27.980758,28.019507,27.973251,28.041111,27.978857,27.038866,27.05829,27.045292,26.989348,27.046128,27.042505,27.031818,27.053373
4/27/2022 03:25:07.287,27.989446,27.982053,28.022064,28.023441,27.971137,28.014967,27.969743,27.993314,27.075435,27.052881,27.019033,27.060437,27.010772,27.0051,27.003855,27.020607
4/27/2022 03:30:11.567,28.020409,28.049487,27.981611,28.04993,28.001838,28.045127,28.049733,28.033047,27.049226,27.01646,26.992971,27.062765,26.979268,26.98053,26.99061,26.997937
4/27/2022 03:35:07.768,27.992281,28.014606,28.008689,28.021065,28.053323,27.999969,27.998871,28.011754,27.007116,26.981481,27.025901,27.015919,27.029605,27.036965,27.058257,27.006067
4/27/2022 03:40:10.397,28.016737,27.986758,28.042586,27.986413,28.034735,27.985332,28.006624,27.976431,26.978465,27.01046,27.045898,26.983038,27.060847,27.012903,27.057929,27.078861
4/27/2022 03:45:11.434,28.008509,28.052339,28.016983,28.033866,27.980972,28.029309,28.037259,28.021671,27.022229,27.068928,27.020902,27.034113,27.028901,26.978317,27.027081,27.078599
4/27/2022 03:50:06.711,27.99515,28.018885,27.976333,28.058912,27.975005,28.01241,27.974038,28.037964,27.084483,27.056553,26.99007,27.075583,26.992545,27.043899,26.987971,27.042325
4/27/2022 03:55:08.299,28.014443,27.985709,28.019507,28.021622,28.036751,27.97771,28.043734,28.001116,27.059995,27.016771,27.032851,27.039489,26.987578,27.036309,27.011706,27.014165
4/27/2022 04:00:07.957,27.996379,28.055322,28.046487,27.988184,28.041898,28.022294,28.004264,27.972743,27.021951,26.979333,27.044833,27.00633,27.057946,26.994036,27.065683,26.983103
